team,games,wins,win_pct,covers,cover_pct,win_rating,spread_rating,value_score
Lindenwood Lions,11,7,0.6363636363636364,7,0.6363636363636364,0.2208748306896399,0.2863208322728611,0.0654460015832212
New Haven Chargers,10,2,0.2,5,0.5,0.08110780838324899,0.2855754922241545,0.20446768384090552
Arkansas Razorbacks,14,11,0.7857142857142857,10,0.7142857142857143,0.5678670718932227,0.2849233044978461,-0.28294376739537663
BYU Cougars,14,13,0.9285714285714286,8,0.5714285714285714,0.7665628401370213,0.2844289042081584,-0.48213393592886283
Elon Phoenix,12,6,0.5,6,0.5,0.2618606466657464,0.2827495467234843,0.020888900057737914
Gonzaga Bulldogs,17,16,0.9411764705882353,10,0.5882352941176471,0.8152335065481817,0.2814551151889777,-0.533778391359204
Louisville Cardinals,14,11,0.7857142857142857,9,0.6428571428571429,0.598847397086726,0.2797022456064725,-0.31914515148025346
Eastern Michigan Eagles,13,5,0.38461538461538464,9,0.6923076923076923,0.1284522354600949,0.2792533096405276,0.15080107418043268
Le Moyne Dolphins,10,4,0.4,8,0.8,0.1127918572163831,0.2787668560193049,0.1659749988029218
Utah State Aggies,12,11,0.9166666666666666,6,0.5,0.6377221567991991,0.2779278493358242,-0.3597943074633749
CSU Fullerton Titans,13,4,0.3076923076923077,7,0.5384615384615384,0.13365591648602954,0.2729264126704644,0.13927049618443488
North Texas Mean Green,13,8,0.6153846153846154,8,0.6153846153846154,0.27265093203013274,0.2703748786045557,-0.002276053425577018
Abilene Christian Wildcats,12,6,0.5,6,0.5,0.16316114114207791,0.26822005729188586,0.10505891614980795
Belmont Bruins,15,12,0.8,7,0.4666666666666667,0.6011156163078748,0.2674873123102655,-0.3336283039976093
Seattle Redhawks,14,10,0.7142857142857143,6,0.42857142857142855,0.39228428071237303,0.26102857590265044,-0.1312557048097226
Bowling Green Falcons,10,6,0.6,5,0.5,0.3420066177894556,0.25614599381596936,-0.08586062397348626
Wright St Raiders,12,6,0.5,7,0.5833333333333334,0.250071898956262,0.25350989341477764,0.0034379944585156696
Southern Illinois Salukis,13,6,0.46153846153846156,6,0.46153846153846156,0.20475223925248587,0.2503541372794728,0.04560189802698694
Washington Huskies,13,9,0.6923076923076923,7,0.5384615384615384,0.4769103841082846,0.24982089474921593,-0.2270894893590687
Georgia Bulldogs,13,13,1.0,6,0.46153846153846156,0.6853942726167225,0.2489234897853969,-0.43647078283132557
North Florida Ospreys,12,0,0.0,7,0.5833333333333334,0.031236570978932187,0.24790658212479216,0.21667001114586
Oral Roberts Golden Eagles,12,1,0.08333333333333333,7,0.5833333333333334,0.04736190405760197,0.24663947330623595,0.199277569248634
Chicago St Cougars,12,1,0.08333333333333333,5,0.4166666666666667,0.041758356173857716,0.24628018692917383,0.2045218307553161
Portland Pilots,14,5,0.35714285714285715,6,0.42857142857142855,0.15187543235484416,0.2451533015109606,0.09327786915611644
UAB Blazers,12,7,0.5833333333333334,7,0.5833333333333334,0.29489755426833353,0.24476270265218206,-0.05013485161615147
Memphis Tigers,14,7,0.5,9,0.6428571428571429,0.2939707598515941,0.23873788292798717,-0.05523287692360693
N Colorado Bears,11,6,0.5454545454545454,7,0.6363636363636364,0.1977822260629189,0.23658976743807278,0.03880754137515388
Florida A&M Rattlers,9,1,0.1111111111111111,5,0.5555555555555556,0.05887757160614022,0.2340145365245817,0.1751369649184415
Utah Valley Wolverines,13,9,0.6923076923076923,6,0.46153846153846156,0.3736722488082339,0.23395982052198847,-0.13971242828624544
San Diego Toreros,15,5,0.3333333333333333,8,0.5333333333333333,0.10434966712880411,0.23392829361458015,0.12957862648577603
Valparaiso Beacons,14,6,0.42857142857142855,8,0.5714285714285714,0.17782889328455706,0.23294863475005026,0.0551197414654932
North Carolina A&T Aggies,12,5,0.4166666666666667,7,0.5833333333333334,0.10747978396236164,0.23237531953400534,0.12489553557164369
Southern Miss Golden Eagles,13,6,0.46153846153846156,5,0.38461538461538464,0.17468391259119476,0.2303051921438698,0.05562127955267504
Saint Peter's Peacocks,9,4,0.4444444444444444,6,0.6666666666666666,0.14419134975884815,0.22965170386856484,0.0854603541097167
Arizona St Sun Devils,13,9,0.6923076923076923,8,0.6153846153846154,0.3985180167170995,0.22872517990060934,-0.16979283681649018
Loyola Marymount Lions,16,9,0.5625,10,0.625,0.30807091812700454,0.2277351821150513,-0.08033573601195323
